wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-8.wav|What do you want to know?
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-19.wav|Then you're not that far behind, actually. Do you want me to brief you?
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-23.wav|The deceased is a security guard for a corporation involved in a labour dispute. It doesn't take a Dolorian polymath to put the pieces together. I just don't see the case getting more mysterious than that.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-28.wav|Do you want me to brief you?
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-32.wav|There's no reason to wing anything. If you didn't get the brief, that's okay, I did.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-36.wav|To find him or her is one of our tasks here. For now all we know is that the tone was muffled using a device of some sort, the desk could identify neither the caller's age nor sex.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-38.wav|There's a strong prejudice against involving the RCM in what's seen as Union matters. The Dockworkers' Union is the de facto police in Martinaise. Now, it appears, they've started executing too. We cannot allow that.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-42.wav|Okay then. Was there anything else you wanted to know?
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-48.wav|Was there anything else you wanted to know about the case?
wavs/fixed-Kim Kitsuragi-WHIRLING  KIM MAIN-55.wav|I expect the case itself to be less challenging than navigating these community matters. This district isn't used to the RCM's presence, and the Union rarely overplays its hand, as it appears to have done in this case...
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-58.wav|Strike, coup, revolution, it's brigandage however you parse it.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-63.wav|Have you tried concentrating on something other than your personal affairs?
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-69.wav|Try work. The case at hand. It can work miracles.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-73.wav|Really?. You look fine to me.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-74.wav|This psycho-drama is unbecoming of an officer.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-76.wav|Focus on other people's troubles. Not your own. That is the relief.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-80.wav|Then you should consider seeking medical attention. You can use the radio in my Kineema to call your station's lazareth. Was there anything else you wanted?
